#{"t_start": 1648004650.129054, "env_id": null}
r,l,t
-20.0,20,500.533249
-20.0,20,502.736024
-20.0,20,502.736111
-20.0,20,503.662844
-20.0,20,506.057776
-20.0,20,508.288322
-20.0,20,508.288418
-20.0,20,508.972407
2.0,19,509.618775
-20.0,20,511.833066
-20.0,20,511.833188
-20.0,20,512.334796
-20.0,20,512.934241
-20.0,20,514.990951
-20.0,20,514.996391
-20.0,20,515.536383
-20.0,20,516.180512
-20.0,20,517.90735
-20.0,20,517.907435
-20.0,20,518.384204
-20.0,20,518.896118
-20.0,20,520.814875
-20.0,20,520.816854
-20.0,20,521.559171
-20.0,20,522.198965
-20.0,20,523.697865
-20.0,20,523.697957
-20.0,20,524.261679
-20.0,20,524.849706
-20.0,20,526.575471
-20.0,20,526.575566
-20.0,20,526.996436
-20.0,20,527.617501
-20.0,20,529.421909
-20.0,20,529.422
-20.0,20,530.097551
-20.0,20,530.706554
13.0,8,531.293
-20.0,20,532.621871
-20.0,20,532.623909
-20.0,20,533.867886
-20.0,20,534.473882
-20.0,20,535.716482
-20.0,20,535.716616
-20.0,20,536.704938
-20.0,20,537.245546
-20.0,20,538.523211
-20.0,20,538.523332
3.0,18,539.435923
-20.0,20,540.492784
-20.0,20,541.630577
-20.0,20,541.630685
-20.0,20,542.469912
-20.0,20,543.327435
-20.0,20,544.342695
-20.0,20,544.342794
-20.0,20,545.099979
-20.0,20,546.23107
-20.0,20,547.384301
-20.0,20,547.384395
-20.0,20,548.448636
-20.0,20,549.158561
-20.0,20,550.254447
-20.0,20,550.254542
-20.0,20,550.93072
-20.0,20,551.750588
-20.0,20,552.807284
-20.0,20,552.807376
-20.0,20,553.508215
-20.0,20,554.230401
-20.0,20,555.203129
-20.0,20,555.203223
-20.0,20,555.91964
-20.0,20,556.781695
-20.0,20,557.808125
-20.0,20,557.808214
-20.0,20,558.499728
-20.0,20,559.341441
-20.0,20,560.528113
-20.0,20,560.528209
-20.0,20,561.55095
-20.0,20,562.405454
-20.0,20,563.440732
-20.0,20,563.440828
-20.0,20,564.300131
-20.0,20,565.109614
-20.0,20,566.221013
-20.0,20,566.221114
-20.0,20,567.050947
17.0,4,567.624251
-20.0,20,567.873371
-20.0,20,568.945395
-20.0,20,568.945492
-20.0,20,570.286704
-20.0,20,570.62156
-20.0,20,571.688392
-20.0,20,571.688484
-20.0,20,572.972759
-20.0,20,573.233162
-20.0,20,574.180479
-20.0,20,574.180572
-20.0,20,575.374266
-20.0,20,575.672152
-20.0,20,576.763917
-20.0,20,576.764014
-20.0,20,578.110522
-20.0,20,578.363597
-20.0,20,579.430194
-20.0,20,579.430291
-20.0,20,580.627063
-20.0,20,580.933239
2.0,19,581.820128
-20.0,20,581.959228
-20.0,20,583.256009
-20.0,20,583.498773
-20.0,20,584.387796
-20.0,20,584.547007
7.0,14,585.208387
-20.0,20,585.745323
-20.0,20,586.870583
-20.0,20,587.051948
-20.0,20,587.990461
-20.0,20,588.511202
-20.0,20,589.667237
-20.0,20,589.780713
19.0,2,589.897673
-20.0,20,590.585136
-20.0,20,591.019443
-20.0,20,592.379662
-20.0,20,592.521277
-20.0,20,593.231822
-20.0,20,593.878216
-20.0,20,595.776329
-20.0,20,595.948435
-20.0,20,596.727804
-20.0,20,597.270268
14.0,7,598.217628
20.0,1,598.390717
-20.0,20,598.600681
-20.0,20,598.720594
3.0,18,599.161876
-20.0,20,601.380206
-20.0,20,601.630496
-20.0,20,601.755103
-20.0,20,602.292234
-20.0,20,605.252062
-20.0,20,605.449728
-20.0,20,605.678128
-20.0,20,606.123154
16.0,5,606.260508
-20.0,20,607.852656
-20.0,20,608.223686
-20.0,20,608.654316
-20.0,20,608.831476
-20.0,20,610.629677
-20.0,20,611.05474
-20.0,20,611.506054
-20.0,20,611.615951
-20.0,20,613.709466
-20.0,20,614.362726
-20.0,20,615.071773
-20.0,20,615.40605
-20.0,20,619.021561
-20.0,20,619.493468
-20.0,20,619.893819
-20.0,20,620.062769
-20.0,20,622.004675
-20.0,20,622.392716
2.0,19,622.951905
-20.0,20,622.952
-20.0,20,624.887806
-20.0,20,625.335105
-20.0,20,625.813115
-20.0,20,625.813224
-20.0,20,627.831919
-20.0,20,628.327123
-20.0,20,628.933828
-20.0,20,628.933917
-20.0,20,630.977873
-20.0,20,631.491277
-20.0,20,631.955777
-20.0,20,631.95589
13.0,8,633.196719
-20.0,20,634.142414
-20.0,20,634.700854
-20.0,20,635.156415
-20.0,20,636.518784
5.0,16,637.260353
-20.0,20,637.415424
-20.0,20,638.234186
-20.0,20,639.479351
-20.0,20,640.183743
-20.0,20,640.325411
-20.0,20,641.137834
-20.0,20,642.363946
-20.0,20,643.141623
-20.0,20,643.268955
2.0,19,643.902164
-20.0,20,645.270134
20.0,1,645.395888
-20.0,20,646.0731
-20.0,20,646.277379
-20.0,20,646.976299
-20.0,20,648.58388
-20.0,20,649.282248
-20.0,20,649.475608
-20.0,20,650.161836
-20.0,20,651.537668
-20.0,20,652.060013
-20.0,20,652.300503
-20.0,20,653.138164
-20.0,20,654.659336
-20.0,20,655.371308
-20.0,20,655.542043
-20.0,20,656.352381
-20.0,20,657.878295
-20.0,20,658.910877
-20.0,20,659.176809
-20.0,20,660.067424
-20.0,20,661.621144
-20.0,20,662.425014
-20.0,20,662.679914
-20.0,20,663.68133
8.0,13,665.050883
-20.0,20,665.728314
-20.0,20,666.418385
-20.0,20,667.288135
-20.0,20,668.254559
-20.0,20,668.561862
-20.0,20,669.093803
-20.0,20,669.792899
-20.0,20,670.909614
-20.0,20,671.134107
-20.0,20,671.578485
-20.0,20,672.401551
-20.0,20,673.528821
-20.0,20,673.747321
-20.0,20,674.261894
-20.0,20,674.931373
-20.0,20,676.099242
-20.0,20,676.361745
-20.0,20,676.798237
-20.0,20,677.728859
14.0,7,677.869809
-20.0,20,678.727178
-20.0,20,678.969903
-20.0,20,680.201134
-20.0,20,680.333723
-20.0,20,681.176767
-20.0,20,681.427459
-20.0,20,682.537166
-20.0,20,682.62401
-20.0,20,683.521026
-20.0,20,683.813349
-20.0,20,685.015485
-20.0,20,685.100484
-20.0,20,685.785819
-20.0,20,686.083943
8.0,13,686.44993
-20.0,20,687.412914
-20.0,20,688.353567
-20.0,20,688.652138
-20.0,20,689.023054
-20.0,20,690.52924
-20.0,20,692.023838
-20.0,20,692.43011
-20.0,20,693.190416
-20.0,20,695.759784
-20.0,20,697.286511
-20.0,20,697.805598
-20.0,20,698.543024
11.0,10,699.253406
-20.0,20,699.814634
-20.0,20,701.264829
-20.0,20,701.800377
-20.0,20,702.370688
-20.0,20,702.74933
-20.0,20,703.93405
-20.0,20,704.340138
-20.0,20,704.979886
-20.0,20,705.370146
-20.0,20,706.66565
-20.0,20,707.149471
-20.0,20,707.844421
-20.0,20,708.25117
-20.0,20,709.628905
-20.0,20,710.006967
-20.0,20,710.660969
19.0,2,710.909367
-20.0,20,711.014792
-20.0,20,712.122484
-20.0,20,712.59864
-20.0,20,713.474315
-20.0,20,713.584829
-20.0,20,714.986006
-20.0,20,715.361982
-20.0,20,716.496903
-20.0,20,716.644562
-20.0,20,717.866684
-20.0,20,718.245351
-20.0,20,719.123903
-20.0,20,719.230784
-20.0,20,720.172807
-20.0,20,720.562128
-20.0,20,721.360135
-20.0,20,721.508548
-20.0,20,722.636531
-20.0,20,722.975895
2.0,19,723.715369
-20.0,20,723.937222
-20.0,20,724.966171
-20.0,20,725.286791
-20.0,20,725.998737
-20.0,20,726.256052
-20.0,20,727.454564
-20.0,20,727.822241
-20.0,20,728.510487
-20.0,20,728.715142
-20.0,20,729.866242
-20.0,20,730.243097
-20.0,20,731.247631
-20.0,20,731.558609
-20.0,20,732.742915
-20.0,20,733.143153
-20.0,20,733.989787
-20.0,20,734.202995
-20.0,20,735.283034
-20.0,20,735.618145
-20.0,20,736.289114
-20.0,20,736.529665
-20.0,20,737.494143
-20.0,20,737.855864
-20.0,20,738.599206
-20.0,20,738.895016
-20.0,20,740.00643
-20.0,20,740.453271
-20.0,20,741.104251
-20.0,20,741.349078
-20.0,20,742.507681
-20.0,20,742.849413
-20.0,20,743.548554
-20.0,20,743.797991
-20.0,20,744.921513
-20.0,20,745.364116
-20.0,20,746.093064
-20.0,20,746.335129
-20.0,20,747.48755
-20.0,20,747.844248
-20.0,20,748.730765
-20.0,20,748.977232
-20.0,20,750.032886
-20.0,20,750.347055
-20.0,20,751.077889
-20.0,20,751.356036
-20.0,20,752.332517
-20.0,20,752.721198
-20.0,20,753.479216
-20.0,20,753.75501
-20.0,20,754.895356
-20.0,20,755.209401
-20.0,20,755.94828
-20.0,20,756.140404
-20.0,20,757.213679
-20.0,20,757.605072
-20.0,20,758.394401
-20.0,20,758.66234
-20.0,20,759.612646
-20.0,20,760.062274
-20.0,20,760.786125
-20.0,20,761.013933
-20.0,20,762.030356
-20.0,20,762.432011
-20.0,20,763.123377
-20.0,20,763.335833
-20.0,20,764.255607
-20.0,20,764.546562
-20.0,20,765.347264
-20.0,20,765.576122
-20.0,20,766.762371
-20.0,20,767.077408
-20.0,20,767.784127
-20.0,20,768.065329
-20.0,20,768.998692
-20.0,20,769.363096
-20.0,20,770.079863
-20.0,20,770.354778
-20.0,20,771.65746
-20.0,20,772.002278
-20.0,20,772.644383
-20.0,20,772.860811
-20.0,20,773.95742
-20.0,20,774.309261
-20.0,20,775.078364
-20.0,20,775.307772
-20.0,20,776.486872
-20.0,20,776.880861
12.0,9,777.785374
-20.0,20,777.785466
-20.0,20,778.108446
-20.0,20,779.619801
-20.0,20,780.371388
-20.0,20,780.371486
-20.0,20,780.577177
-20.0,20,782.005169
-20.0,20,782.736372
-20.0,20,782.736466
-20.0,20,782.959604
-20.0,20,785.437268
-20.0,20,786.681391
-20.0,20,786.681485
-20.0,20,787.098377
-20.0,20,788.907303
-20.0,20,789.732861
-20.0,20,789.732958
-20.0,20,790.038179
-20.0,20,791.731384
-20.0,20,792.639177
-20.0,20,792.639276
-20.0,20,792.879999
-20.0,20,794.493991
-20.0,20,795.187149
-20.0,20,795.187278
-20.0,20,795.510812
-20.0,20,796.93205
-20.0,20,797.636992
-20.0,20,797.637087
-20.0,20,797.850977
-20.0,20,799.615085
-20.0,20,800.476344
-20.0,20,800.476436
-20.0,20,800.789856
-20.0,20,802.769041
-20.0,20,803.564717
-20.0,20,803.564814
-20.0,20,803.842125
-20.0,20,805.436992
-20.0,20,806.214198
-20.0,20,806.214296
-20.0,20,806.540154
-20.0,20,809.562309
-20.0,20,811.039551
-20.0,20,811.039648
-20.0,20,811.391784
-20.0,20,813.499963
-20.0,20,814.442092
-20.0,20,814.442291
-20.0,20,814.852888
-20.0,20,816.731723
-20.0,20,817.554048
-20.0,20,817.554145
