#{"t_start": 1649217034.24455, "env_id": null}
r,l,t
-20.0,20,274.74529
-20.0,20,274.745318
-20.0,20,274.74534
-20.0,20,277.701149
-20.0,20,277.701234
-20.0,20,277.701265
-20.0,20,277.70129
-20.0,20,280.436123
-20.0,20,280.436207
-20.0,20,280.436238
-20.0,20,280.436264
-20.0,20,283.260921
-20.0,20,283.261004
-20.0,20,283.261036
-20.0,20,283.261062
-20.0,20,286.546628
-20.0,20,286.546712
-20.0,20,286.546747
-20.0,20,286.546773
